Universitas Rekanan,Negara,Program (GC),Jenis (SE/SA),Kuota per batch,Biaya studi (1 semester),Historis Biaya Akomodasi / mhs
Northumbria University,UK,"CS, IR",SE,15,0,81000000
Coventry University,UK,"CS, IR, IBM",SE,9,0,85500000
Oxford Brookes University,UK,"CS, IR, IBM",SE,5,0,135000000
De Montfort University,UK,"CS, IR, IBM",SA,10,147000000,81000000
University of Westminster,UK,CS,SA,11,144750000,162000000
University of Greenwich,UK,"CS, IBM",SA,7,142500000,153000000
Kingston University,UK,"IR, IBM",SA,5,140250000,144000000
Leeds Beckett University,UK,IBM,SA,19,255000000,81000000
UWE Bristol,UK,IR,SA,7,247500000,99000000
Hokkaido University,Japan,"CS, IR, IBM",SA,17,60750000,49500000
École Polytechnique,France,"CS, IBM",SE,20,0,135000000
University of Toulouse,France,IBM,SE,16,0,81000000
University of Nice,France,"CS, IBM",SA,13,30750000,117000000
University of Strasbourg,France,CS,SA,17,30000000,90000000
Sorbonne University,France,CS,SA,7,33750000,162000000
University of Lille,France,"CS, IR",SE,7,0,85500000
University of Sydney,Australia,IBM,SE,9,0,166344827
University of Alberta,Canada,CS,SE,18,0,106105263
Western University,Canada,"CS, IR",SA,19,223000000,105000000
University of Manitoba,Canada,"CS, IBM",SA,5,215328947,91657894
Memorial University,Canada,IR,SA,9,182500000,82500000
University of Toronto,Canada,"IR, IBM",SA,20,276375000,162000000
University of British Columbia,Canada,"CS, IBM",SA,6,268875000,171000000
McGill University,Canada,CS,SA,10,265750000,132000000
University of Waterloo,Canada,IBM,SE,12,0,117000000
University of Montreal,Canada,"CS, IR",SA,6,244875000,126000000
University of Ottawa,Canada,"CS, IR, IBM",SE,18,0,126000000
University of Calgary,Canada,IBM,SE,6,0,117000000
McMaster University,Canada,"CS, IR, IBM",SE,16,0,112500000
Queen's University,Canada,"IR, IBM",SA,5,219750000,117000000
University of Victoria,Canada,IBM,SA,16,216375000,126000000
Dalhousie University,Canada,"CS, IR, IBM",SE,19,0,105272727
Laval University,Canada,IBM,SE,14,0,87206896
University of Saskatchewan,Canada,CS,SE,12,0,85500000
University of Regina,Canada,"CS, IR, IBM",SA,5,196125000,81000000
University of Sherbrooke,Canada,"CS, IBM",SE,6,0,76500000
University of Windsor,Canada,"IR, IBM",SA,11,189375000,85500000
University of New Brunswick,Canada,IBM,SA,16,186000000,81000000
UQTR,Canada,"CS, IR",SA,6,182625000,76500000
Lakehead University,Canada,IBM,SE,19,0,72000000
Laurentian University,Canada,"IR, IBM",SA,14,175875000,72000000
UNBC,Canada,"CS, IR",SA,14,172500000,67500000
Osaka University,Japan,CS,SE,9,0,81000000
Tsinghua University,China,IR,SE,15,0,72000000
Sun Yat-sen University,China,"CS, IBM",SA,19,51750000,43200000
Indian Institute of Science,India,CS,SA,8,17456896,38793103
IIT Pune,India,"CS, IR, IBM",SE,11,0,22500000
Uludag University,Turkey,IR,SE,19,0,34200000
Harvard University,USA,"IR, IBM",SA,10,415500000,198000000
Stanford University,USA,"CS, IBM",SA,16,405647727,210681818
UC San Diego,USA,"IR, IBM",SA,14,331500000,171000000
University of Washington,USA,"CS, IR, IBM",SA,10,336937500,182250000
UC Berkeley,USA,"CS, IR",SE,5,0,192000000
University of Pennsylvania,USA,"CS, IBM",SE,9,0,171000000
University of Wisconsin,USA,"CS, IR",SA,8,286500000,126000000
University of Minnesota,USA,"CS, IBM",SE,7,0,144000000
Carnegie Mellon,USA,IR,SA,20,402000000,148500000
UIUC,USA,"IR, IBM",SE,5,0,126000000
Cornell University,USA,IBM,SA,13,373500000,144000000
MIT,USA,"CS, IBM",SA,15,426750000,198000000
Yale University,USA,IR,SA,11,408750000,189000000
Princeton University,USA,IR,SE,17,0,180000000
UCLA,USA,"CS, IR",SA,20,356250000,198000000
University of Michigan,USA,IBM,SA,19,390000000,153000000
University of Texas Austin,USA,IR,SA,20,303750000,162000000
University of Wisconsin-Madison,USA,IR,SE,8,0,144000000
University of Illinois Urbana-Champaign,USA,"CS, IBM",SE,5,0,135000000
Georgia Tech,USA,IBM,SE,15,0,153000000
Ohio State University,USA,CS,SA,17,246000000,126000000
Purdue University,USA,CS,SA,9,236250000,117000000
University of Florida,USA,IR,SA,6,213750000,126000000
Arizona State University,USA,IR,SE,11,0,135000000
NC State University,USA,IBM,SE,7,0,126000000
Texas A&M University,USA,CS,SA,7,202500000,117000000
Oregon State University,USA,IBM,SA,6,198750000,117000000
UT Austin,USA,IR,SE,7,0,162000000
University of Salford,UK,"CS, IR",SE,16,0,90000000
University of Tasmania,Australia,IR,SA,10,240300000,98100000
University of Queensland,Australia,IBM,SA,10,280312500,128250000
Griffith University,Australia,"IR, IBM",SE,18,0,119250000
University of Jena,Germany,"CS, IBM",SE,11,0,54000000
University of Colorado,USA,"CS, IBM",SE,10,0,144000000
Columbia University,USA,"CS, IR",SA,8,430500000,225000000
UC Berkeley Extension,USA,IBM,SA,10,390000000,216000000
University of Chicago,USA,"IR, IBM",SA,11,435000000,171000000
Portland State University,USA,IR,SA,13,337500000,144000000
Northeastern University,USA,"IR, IBM",SA,9,405000000,180000000
UC Davis,USA,"CS, IR",SE,5,0,144000000
University of Western Australia,Australia,IBM,SE,19,0,126000000
University of Stuttgart,Germany,"IR, IBM",SE,17,0,99000000
University of Bonn,Germany,IBM,SE,9,0,99000000
Peking University,China,IBM,SA,10,63750000,67500000
Xi'an Jiaotong University,China,"CS, IBM",SA,6,47250000,37800000
TU Dresden,Germany,"CS, IR, IBM",SA,13,1875000,74250000
Humboldt University,Germany,IBM,SA,17,0,85500000
Goethe University,Germany,"CS, IR",SA,10,0,117000000
RWTH Aachen,Germany,IBM,SE,13,0,90000000
University of Hamburg,Germany,CS,SA,12,0,99000000
Heidelberg University,Germany,"CS, IR",SE,11,0,90000000
University of Malaya,Malaysia,"CS, IBM",SE,18,0,45000000
UNIMAS,Malaysia,"CS, IR",SE,13,0,34200000
USIM,Malaysia,"CS, IR",SE,11,0,36000000
University of Adelaide,Australia,"IR, IBM",SA,14,274500000,119250000
University of Melbourne,Australia,CS,SA,15,309477272,155454545
Australian National University,Australia,CS,SE,20,0,137250000
University of New South Wales,Australia,IBM,SE,8,0,171000000
Monash University,Australia,CS,SA,16,288500000,153000000
Queensland University of Technology,Australia,"CS, IBM",SA,17,276500000,126000000
University of Technology Sydney,Australia,"CS, IR",SE,10,0,162000000
RMIT University,Australia,"CS, IBM",SE,20,0,144000000
University of Wollongong,Australia,CS,SA,8,265999999,117000000
University of Newcastle,Australia,"CS, IR, IBM",SA,5,261499999,117000000
University of Canberra,Australia,CS,SE,6,0,135000000
James Cook University,Australia,IBM,SE,14,0,108000000
University of New England,Australia,"IR, IBM",SE,16,0,99000000
University of Southern Queensland,Australia,IBM,SE,20,0,99000000
Federation University,Australia,"CS, IR, IBM",SA,16,236000000,90000000
Southern Cross University,Australia,"IR, IBM",SE,8,0,90000000
UAE University,UAE,"CS, IR",SA,7,180000000,67500000
École Normale Supérieure Lyon,France,IBM,SA,7,36000000,76500000
University of Lyon,France,IBM,SA,17,31500000,108000000
Grenoble INP,France,"IR, IBM",SA,20,30750000,99000000
TU Eindhoven,Netherlands,"CS, IBM",SE,7,0,85500000
TU Delft,Netherlands,"CS, IR",SA,20,116250000,99000000
Akdeniz University,Turkey,"IR, IBM",SE,5,0,37800000
Kyoto University,Japan,IBM,SA,20,63750000,81000000
Kobe University,Japan,"CS, IR, IBM",SE,17,0,63000000
American University in Dubai,UAE,"CS, IR, IBM",SA,16,221250000,108000000
American University of Sharjah,UAE,"CS, IBM",SA,16,195000000,81000000
